vector_count	dimension	vector_workload	filter_workload	selectivity	nlists	k	target_recall	method	runs	seeds	recall_min	recall_mean	recall_max	p50_min_ms	p50_median_ms	p50_max_ms	p95_min_ms	p95_median_ms	p95_max_ms	candidates_scored_mean	lists_probed_mean	oracle_wins	planner_regret_median	planner_regret_max	claim_passed	probe_safety_factor	candidate_multiplier	postfilter_candidate_multiplier_median	postfilter_safety_factor	vector_weight	filter_weight	rerank_factor
100000	128	clustered	correlated	0.01	64	10	0.95	auto	3	48,49,50	1.0	1.0	1.0	0.0925	0.113541	0.11925	0.100042	0.127542	0.131375	1000.0	0.0	0	1.1778180220726011	1.3496507936507935	true	8.0	16.0	32.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.01	64	10	0.95	exact	3	48,49,50	1.0	1.0	1.0	0.085084	0.094041	0.107542	0.0945	0.119916	0.123125	1000.0	0.0	1	1.1778180220726011	1.3496507936507935	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.01	64	10	0.95	filter_aware	3	48,49,50	1.0	1.0	1.0	0.097625	0.111833	0.113166	0.108875	0.130875	0.132209	1000.0	64.0	1	1.1778180220726011	1.3496507936507935	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.01	64	10	0.95	filter_aware_bound	3	48,49,50	1.0	1.0	1.0	0.098416	0.105833	0.10975	0.11475	0.122041	0.123834	999.9816666666667	30.656666666666666	0	1.1778180220726011	1.3496507936507935	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.01	64	10	0.95	ivf_postfilter	3	48,49,50	1.0	1.0	1.0	19.608917	22.472167	27.019416	22.936041	31.267333	33.312333	100000.0	64.0	0	1.1778180220726011	1.3496507936507935	true	8.0	16.0	32.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.01	64	10	0.95	ivf_prefilter	3	48,49,50	1.0	1.0	1.0	0.086958	0.095208	0.115541	0.099042	0.111541	0.13925	1000.0	64.0	1	1.1778180220726011	1.3496507936507935	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.05	64	10	0.95	auto	3	48,49,50	1.0	1.0	1.0	0.426625	0.458875	0.5425	0.464625	0.530208	0.585834	5000.0	0.0	0	1.2299441174901353	1.3789747971555881	true	8.0	16.0	64.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.05	64	10	0.95	exact	3	48,49,50	1.0	1.0	1.0	0.402375	0.403916	0.428833	0.434209	0.448916	0.847416	5000.0	0.0	0	1.2299441174901353	1.3789747971555881	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.05	64	10	0.95	filter_aware	3	48,49,50	1.0	1.0	1.0	0.380375	0.394042	0.428208	0.418584	0.427334	0.501375	5000.0	64.0	0	1.2299441174901353	1.3789747971555881	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.05	64	10	0.95	filter_aware_bound	3	48,49,50	1.0	1.0	1.0	0.397084	0.3985	0.428833	0.409667	0.424833	0.486958	4988.526666666666	49.88666666666666	2	1.2299441174901353	1.3789747971555881	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.05	64	10	0.95	ivf_postfilter	3	48,49,50	1.0	1.0	1.0	19.056208	26.385041	27.201125	24.563208	31.676333	33.59475	100000.0	64.0	0	1.2299441174901353	1.3789747971555881	true	8.0	16.0	64.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.05	64	10	0.95	ivf_prefilter	3	48,49,50	1.0	1.0	1.0	0.385583	0.387792	0.399958	0.431083	0.444583	0.61175	5000.0	64.0	1	1.2299441174901353	1.3789747971555881	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.1	64	10	0.95	auto	3	48,49,50	1.0	1.0	1.0	0.822959	0.871709	1.005333	0.88725	0.981791	1.146625	10000.0	0.0	0	1.1704820742210227	1.2151806304473158	true	8.0	16.0	128.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.1	64	10	0.95	exact	3	48,49,50	1.0	1.0	1.0	0.83275	0.843	0.907667	0.900125	0.943584	0.997333	10000.0	0.0	1	1.1704820742210227	1.2151806304473158	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.1	64	10	0.95	filter_aware	3	48,49,50	1.0	1.0	1.0	0.740542	0.783292	0.930334	0.796333	0.846666	1.004917	10000.0	64.0	0	1.1704820742210227	1.2151806304473158	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.1	64	10	0.95	filter_aware_bound	3	48,49,50	1.0	1.0	1.0	0.773875	0.774084	0.895875	0.788834	0.838792	0.947125	9955.266666666668	57.75833333333333	2	1.1704820742210227	1.2151806304473158	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.1	64	10	0.95	ivf_postfilter	3	48,49,50	1.0	1.0	1.0	17.752459	18.750125	26.357375	20.409083	25.4335	36.043166	100000.0	64.0	0	1.1704820742210227	1.2151806304473158	true	8.0	16.0	128.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.1	64	10	0.95	ivf_prefilter	3	48,49,50	1.0	1.0	1.0	0.782125	0.870334	0.897125	0.862291	0.943041	1.979542	10000.0	64.0	0	1.1704820742210227	1.2151806304473158	true	8.0	16.0	0.0	2.0	0.5	0.5	4
