engine	method	recall_at_10	p50_ms	p95_ms	qps	comparable_recall	build_seconds	peak_rss_megabytes
sen	exact	1.0	5.97275	48.36875	66.17604696725816	True	11.352053	3375.96875
sen	ivf_prefilter	1.0	5.3665	70.643916	44.639524436174376	True	11.352053	3375.96875
sen	ivf_postfilter	1.0	125.337958	151.217459	7.802866911218855	True	11.352053	3375.96875
sen	filter_aware	1.0	5.283958	70.09225	48.6853960977873	True	11.352053	3375.96875
sen	filter_aware_bound	1.0	5.926875	69.922917	47.33197130096721	True	11.352053	3375.96875
sen	auto	1.0	5.885917	37.209584	73.31183721316707	True	11.352053	3375.96875
faiss	exact_prefilter	1.0	17.492833	64.201625	45.01577150766027	True	4.136050040833652	4960.421875
faiss	ivf_prefilter	1.0	11.879667	56.217334	53.56940447300398	True	4.136050040833652	4960.421875
qdrant	filtered_hnsw	0.74375	19.031875	40.539917	49.46548926834308	False	512.1521675419062	
qdrant	acorn_filtered_hnsw	0.90625	9.7585	16.990792	93.92490210970593	False	512.1521675419062	
qdrant	exact_prefilter	1.0	11.119125	37.224209	62.81585291270208	True	512.1521675419062	
